ra,dec,x,y,z,mag
43.868705,51.078819,0.682650,-0.077879,0.726584,7.558772
223.860900,-31.418077,-0.691073,-0.722782,-0.002150,7.558960
57.537323,6.620529,0.518824,0.788208,0.330982,7.559257
90.273465,-43.903010,-0.670750,0.737442,0.079204,7.559290
28.310868,26.044902,-0.611630,-0.022355,0.790828,7.559613
290.921830,15.560088,0.315364,-0.937463,0.147337,7.559822
120.385783,-70.023429,0.329567,0.519259,-0.788515,7.560556
109.350030,-21.200956,0.578516,-0.400655,-0.710489,7.560704
238.737790,-49.402787,0.650216,-0.015121,0.759599,7.560885
184.478721,-16.952860,0.205162,-0.245788,0.947363,7.561011
10.641447,37.222433,-0.308115,-0.833391,-0.458830,7.561134
82.074579,-31.839980,0.841886,0.349185,-0.411458,7.561163
127.123833,-7.344849,0.053833,0.484438,-0.873168,7.561412
100.347408,-2.350600,-0.691328,0.128342,-0.711052,7.561430
285.363809,-6.192587,-0.863704,0.495812,0.090474,7.561462
201.728929,63.007726,0.773562,0.609088,0.174968,7.561639
198.905400,-41.141276,0.528027,0.795948,0.296066,7.561658
46.738616,58.600784,0.429014,-0.173982,0.886384,7.561736
61.111987,76.145695,-0.108925,-0.725277,0.679786,7.561991
5.693069,-9.231050,-0.815333,0.546048,-0.192518,7.562056
285.352602,26.395425,-0.261297,0.153917,0.952908,7.562198
140.956568,74.975230,-0.834424,0.367739,-0.410492,7.562342
111.858130,15.316366,-0.300904,0.873950,0.381665,7.562867
338.453511,-38.139613,0.604758,-0.672649,-0.426393,7.563067
152.858293,-65.004063,0.266808,-0.498952,-0.824537,7.563176
275.048684,7.069043,0.112134,-0.697830,0.707432,7.563262
23.426300,-50.401722,-0.133976,-0.981633,-0.135819,7.563313
95.069211,14.688508,-0.356820,-0.383508,0.851823,7.563553
216.019652,-81.333312,-0.687650,0.640922,0.341110,7.563859
80.297938,-2.859866,-0.178890,0.943772,-0.278015,7.563984
242.875921,47.769025,0.449516,0.660580,-0.601306,7.564381
39.461988,-13.128880,-0.161486,0.830363,-0.533310,7.564766
197.725575,-60.050139,0.918244,-0.181135,0.352161,7.564932
118.975889,-6.526817,0.892101,-0.382054,-0.241229,7.564964
14.632280,16.313645,0.390612,-0.723390,-0.569323,7.564991
305.782456,-18.342653,-0.436542,-0.757462,0.485472,7.565293
14.433115,53.578707,0.287362,-0.942472,-0.170791,7.565626
272.011607,-31.001214,-0.238685,0.883561,0.402927,7.565661
